order,area,map,index,memo,type,qual,fav,text,notes
1,,#BaronTown,0x00,,unused,,,,
2,,#BaronTown,0x01,,unused,,,,
3,BaronTown,#BaronTown,0x02,man,info,0,,Welcome to the seed! Hope you have a good time!,
4,,#BaronTown,0x03,,unused,,,,
5,,#BaronTown,0x04,,unused,,,,
6,BaronTown,#BaronTown,0x05,old man,info,0,,Why exactly are the Red Wings feared when their captain's strongest weapon is [darksword]Black?,
7,,#BaronTown,0x06,,unused,,,,
8,,#BaronTown,0x07,,unused,,,,
9,BaronTown,#BaronTown,0x08,woman,info,0,,Don't do Baron Inn early! It will be awful! I can tell!,
10,,#BaronTown,0x09,,unused,,,,
11,,#BaronTown,0x0A,,unused,,,,
12,BaronTown,#BaronTown,0x0B,boy,info,0,,My name's Todd. Have you seen my brother?,
13,BaronTown,#BaronTown,0x0C,old woman,info,0,,Find the [key]Baron to open the west building of town and sneak into the castle!,
14,BaronTown,#BaronTown,0x0D,?,info,,,,
15,,#BaronTown,0x0E,,unused,,,,
16,,#BaronTown,0x0F,,unused,,,,
17,BaronTown,#BaronTown,0x10,dancer,event,,,"Hidden treasures in the water? I uh__ look, someone's dancing!",
18,BaronTown,#BaronTown,0x11,training soldier,event,,,,Keep current change.
19,Mist,#Mist,0x00,man,info,1,,"It's weird, this whole village was on fire but it looks the exact same as before.",
20,Mist,#Mist,0x01,man,info,1,,"Titan is a great summon, but I guess he only moves mountains when it's plot-relevant.",
21,Mist,#Mist,0x02,man,info,1,,I'm opening a grill house in town for people with big appetites!|It's called: Huge Mist Steaks.,
22,Mist,#Mist,0x03,old man,info,1,,"The Imp, Bomb, Cockatrice, and Mage summon orbs don't exist anymore, but you might still get one of those spells on Mt. Hobs!|More than one way to melt an ice wall, y'know.",
23,Kaipo,#Kaipo,0x00,man,info,0,,Welcome to Kaipo! We recently purified the oasis to keep Waterhags away!,
24,Kaipo,#Kaipo,0x01,bearded man,info,0,,An ill person was recently found in the desert. If only we had the SandRuby__,
25,Kaipo,#Kaipo,0x02,woman,info,0,,They say you should use a SomaDrop to jog old minds to their most powerful spells.,
26,Kaipo,#Kaipo,0x03,dancer,event,,,I was hired to help purify the oasis to keep Waterhags away! Wanna see?,
27,Kaipo,#Kaipo,0x04,boy,info,0,,"If you listen to the waterfall currents of Watery Pass, you can hear 'don't softlock.'",
28,Kaipo,#Kaipo,0x05,man,info,0,,Just doing a thorough test on the neighborhood doors to see how sturdy they are.,
29,Kaipo,#Kaipo,0x06,woman,info,0,,"Please help me, my boyfriend won't stop testing doors.",
30,,#Mysidia,0x00,,unused,,,,
31,,#Mysidia,0x01,,unused,,,,
32,,#Mysidia,0x02,,unused,,,,
33,Mysidia,#Mysidia,0x03,black mage,info,0,,Need a big damage spell to get around counters or timing? Try using Bluff!,
34,,#Mysidia,0x04,,unused,,,,
35,,#Mysidia,0x05,,unused,,,,
36,Mysidia,#Mysidia,0x06,white mage,info,0,,I keep hoping the armor shop will stock [helmet]Wizard and [shirt]Wizard to buff my Will.,
37,,#Mysidia,0x07,,unused,,,,
38,,#Mysidia,0x08,,unused,,,,
39,Mysidia,#Mysidia,0x09,black mage,info,0,,"[blackmagic]Stop is a good way to buy some time, but even HrGlass1 will last longer.",
40,,#Mysidia,0x0A,,unused,,,,
41,,#Mysidia,0x0B,,unused,,,,
42,Mysidia,#Mysidia,0x0C,white mage,info,0,,"[whitemagic]Heal will remove most status ailments, freeing up your inventory for other things!",
43,,#Mysidia,0x0D,,unused,,,,
44,,#Mysidia,0x0E,,unused,,,,
45,Mysidia,#Mysidia,0x0F,black mage,info,0,,"Some rods raise Wisdom, which makes black magic stronger.|Likewise, some staves raise Will, which improves white magic.",
46,,#Mysidia,0x10,,unused,,,,
47,,#Mysidia,0x11,,unused,,,,
48,Mysidia,#Mysidia,0x12,white mage,info,0,,Party members you've dismissed can be retrieved inside the Tower of Wishes.,
49,,#Mysidia,0x13,,unused,,,,
50,,#Mysidia,0x14,,unused,,,,
51,Mysidia,#Mysidia,0x15,white mage,info,0,,"My partner bought me a [shirt]Sorcerer. It's awesome, my magic feels stronger!",
52,Silvera,#Silvera,0x00,mini,info,0,,"If glitches are on, you might want to ask around to learn underflows for quick money and MP.",
53,Silvera,#Silvera,0x01,mini,info,0,,Running away from battles takes a little longer when a party member is a Mini or Toad.,
54,Silvera,#Silvera,0x02,frog,info,0,,My ToadLady lost me! Help! Where's the Sylph Cave?,
55,Silvera,#Silvera,0x03,pig,info,0,,"Don't get lost in the 64-floor glitch, or you'll end up like me.",
56,Silvera,#Silvera,0x04,frog,info,0,,"Some weapons are two-handed, so you can't pick them up unless your hands are empty.|Mostly these are hammers, axes, or the [sword]Avenger.",
57,Silvera,#Silvera,0x05,mini,info,0,,"I was a MadOgre, until I was turned into a Mini with Size. Apparently you can do that.",
58,Silvera,#Silvera,0x06,frog,info,0,,"Dancing Daggers are great! Be sure to use them as items, rather than just attacking.",
59,Silvera,#Silvera,0x07,dancer,event,,,Listen to the history of our hamlet! | We made a dance about it!,
60,Silvera,#Silvera,0x08,dancer,event,,,"Silvera was founded when the oppressed hopped on to new homes! | For immigrants, it's our Rome!",
61,Silvera,#Silvera,0x09,dancer,event,,,We hope you enjoyed us spinning like stars. Silvera's the place to be who you are!,
62,ToroiaTown,#ToroiaTown,0x00,swimmer,info,0,,We have the biggest town in the game and no heroes are from here. What a joke.,
63,ToroiaTown,#ToroiaTown,0x01,woman,info,0,,[blackmagic]Warp can work just as well as [whitemagic]Exit in some spots.|Some places you can still Warp even if you can't Exit!,
64,ToroiaTown,#ToroiaTown,0x02,swimmer,info,0,,"Hey, can you tell that guy in the bushes to go away? Thanks.",
65,ToroiaTown,#ToroiaTown,0x03,old man,info,0,,"I get it, you think I'm a creeper. I'm really just hiding from my wife's chores.",
66,ToroiaTown,#ToroiaTown,0x04,old woman,info,0,,,Leave unchanged.
67,ToroiaTown,#ToroiaTown,0x05,girl,info,0,,Don't like the autodash setting? Change it in the Custom menu!,
68,ToroiaTown,#ToroiaTown,0x06,sunbather,info,0,,I already told you_ | I don't HAVE any key items for you. Yeesh!,
69,ToroiaTown,#ToroiaTown,0x07,bearded man,info,0,,"Wearing metal will paralyze you in Cave Magnes, to the northeast of here.",
70,Agart,#Agart,0x00,man,info,0,,Welcome to Agart! Our last natural disaster occurred 1 day ago.,
71,Agart,#Agart,0x01,woman,info,0,,Other weapons cast spells out of the item menu too! Check out [rod]Stardust!,
72,Agart,#Agart,0x02,boy,info,0,,My name's Rod. Have you seen my brother?,
73,Agart,#Agart,0x03,old man,info,0,,Illusion is just as good as [whitemagic]Blink. Always worth picking a few up if you see it.,
74,Agart,#Agart,0x04,old woman,info,0,,I don't trust that Kory. He's been involved with some__ dark matters.,
75,Agart,#Agart,0x05,girl,info,0,,Big girls DO Cry! Sometimes. It helps ninjas steal things.,
76,,#Agart,0x06,,unused,,,,
77,Agart,#Agart,0x07,man,info,0,,Boreas is better than Notus. Noticing does less damage than boring. ,
82,,#BaronInn,0x00,,unused,,,,
83,,#BaronInn,0x01,,unused,,,,
84,BaronTown,#BaronInn,0x02,sign,info,0,,EXTRA EXTRA! TODD SMELLS,
85,,#BaronInn,0x03,,unused,,,,
86,,#BaronInn,0x04,,unused,,,,
87,BaronTown,#BaronInn,0x05,man,info,0,,"This brings a new meaning to meeting randos at the bar, eh?",
88,,#BaronInn,0x06,,unused,,,,
89,,#BaronInn,0x07,,unused,,,,
90,BaronTown,#BaronInn,0x08,woman,info,0,,I'm just trying to make it through this day without getting clipped through again.,
91,BaronTown,#BaronInn,0x09,girl,info,0,,At the training room they taught me to push A in front of suspicious crossed swords.,
92,,#BaronInn,0x0A,,unused,,,,
93,,#BaronInn,0x0B,,unused,,,,
94,BaronTown,#BaronInn,0x0C,guard,event,,,,Keep current.
96,,#CidHouse,0x00,,unused,,,,
97,,#CidHouse,0x01,,unused,,,,
98,BaronTown,#CidHouse,0x02,book,info,0,,Holding Y: Your Guide To Precise Airship Movements,
99,BaronTown,#CidHouse,0x03,book,info,0,,To Kill A Malboro,
100,BaronTown,#CidHouse,0x04,book,info,0,,The Sound and the Floateye,
101,,#CidHouse,0x05,,unused,,,,
102,,#CidHouse,0x06,,unused,,,,
103,BaronTown,#CidHouse,0x07,cid's daughter,info,0,,My dad's a real tank. Did you know he can wear Samurai and Dragoon armor too?,
104,,#CidHouse,0x08,,unused,,,,
105,,#RosaHouse,0x00,,unused,,,,
106,,#RosaHouse,0x01,,unused,,,,
107,BaronTown,#RosaHouse,0x02,rosa's mom,info,0,,Rosa's mother:My daughter's the best character in this game. You best treat her well!|Or else Rivers will be really mad at you.,
109,,#KaipoInn,0x00,child rydia,event,,,,Used for placeholder pig
110,,#KaipoInn,0x01,child rydia,event,,,,Used for placeholder pig
111,,#KaipoInn,0x02,,unused,,,,
112,,#KaipoInn,0x03,,unused,,,,
113,Kaipo,#KaipoInn,0x04,old woman,info,0,,"No, you get out of MY way!",
114,Kaipo,#KaipoCafe,0x00,scholar,info,0,,"By canon, whoever is in Watery Pass is Anna's father. _It's best not to think about it.",
115,Kaipo,#KaipoCafe,0x01,woman,info,0,,"I don't embrace excuses, I embrace solutions. _We need better systems.",
116,Kaipo,#KaipoCafe,0x02,sign,info,0,,Parched throat? Need a burst of attack energy? Try new and refreshing BERSK!,
117,Kaipo,#KaipoCafe,0x03,bearded man,info,0,,Prince [Edward] is craftier than he lets on. Try using Hide against Plague or EvilWall!,
118,,#KaipoHospital,0x00,,unused,,,,
119,Kaipo,#KaipoHospital,0x01,old woman,info,0,,We can't stock SandRuby because we blew our budget on a fancy fireplace. In the desert.,
120,,#KaipoHospital,0x02,,unused,,,,
121,Kaipo,#KaipoHospital,0x03,book,info,0,,This book describes exactly what the SandRuby is and where it comes from.|__It's gross.,
122,,#KaipoHospital,0x04,,unused,,,,
123,Kaipo,#KaipoHospital,0x05,old man,info,0,,"They've got a fever, and it turns out the only remedy is not, in fact, more cowbell.",
124,,#MysidiaCafe,0x00,,unused,,,,
125,,#MysidiaCafe,0x01,,unused,,,,
126,Mysidia,#MysidiaCafe,0x02,sign,info,0,,WANTED: Group of adventurers for mountain climb. Help an old man learn Meteo!,
127,Mysidia,#MysidiaCafe,0x03,?,info,0,,[Tellah]'s Recal command has a random chance of casting one of eight spells.,
128,,#MysidiaCafe,0x04,,unused,,,,
129,,#MysidiaCafe,0x05,,unused,,,,
130,Mysidia,#MysidiaCafe,0x06,white mage,info,0,,You won't get far without a White Mage backing you. Learn to love them.,
131,,#MysidiaCafe,0x07,,unused,,,,
132,,#MysidiaCafe,0x08,,unused,,,,
133,Mysidia,#MysidiaCafe,0x09,black mage,info,0,,"Nobody has a problem with giving two children to the Knight that killed our friends? OK, cool.",
134,,#MysidiaCafe,0x0A,,unused,,,,
135,,#MysidiaCafe,0x0B,,unused,,,,
136,Mysidia,#MysidiaCafe,0x0C,black mage,info,0,,"We do all the work, fighters get all the glory. Typical! They even made us robots in FF9.",
137,,#MysidiaCafe,0x0D,,unused,,,,
138,,#MysidiaCafe,0x0E,,unused,,,,
139,Mysidia,#MysidiaCafe,0x0F,black mage,info,0,,"Physical damage is fine, but a good Nuke or Quake will cut through just about any boss.",
140,,#MysidiaCafe,0x10,,unused,,,,
141,,#MysidiaCafe,0x11,,unused,,,,
144,,#HouseOfWishes,0x00,,unused,,,,
145,,#HouseOfWishes,0x01,,unused,,,,
146,Mysidia,#HouseOfWishes,0x02,book,info,0,,"Lyrics to the\Mysidian National Anthem|Womp woo, womp woo\Womp woo, womp woo\- repeat -",
147,Mysidia,#HouseOfWishes,0x03,book,info,0,,"Are You There, RNGesus? It's Me, Margaret",
148,Mysidia,#HouseOfWishes,0x04,book,info,0,,Easy Home Projects You Can Do While Waiting For The Mysidian Legend To Finish,
149,,#HouseOfWishes,0x05,,unused,,,,
150,,#HouseOfWishes,0x06,,unused,,,,
151,,#HouseOfWishes,0x07,,unused,,,,
152,,#HouseOfWishes,0x08,,unused,,,,
153,Mysidia,#HouseOfWishes,0x09,black mage,info,0,,You can use [blackmagic]Psych to drain MP from less useful party members.,
154,,#HouseOfWishes,0x0A,,unused,,,,
155,,#HouseOfWishes,0x0B,,unused,,,,
156,Mysidia,#HouseOfWishes,0x0C,white mage,info,0,,Twin magic casts Flare 75% of the time and Comet 25% of the time.,
157,,#HouseOfWishes,0x0D,,unused,,,,
158,,#HouseOfWishes,0x0E,,unused,,,,
159,Mysidia,#HouseOfWishes,0x0F,black mage,info,0,,"Mysidian children learn strong magic quickly, but their HP growth is lacking.",
160,,#HouseOfWishes,0x10,,unused,,,,
161,,#HouseOfWishes,0x11,,unused,,,,
162,,#HouseOfWishes,0x12,,unused,,,,
163,,#HouseOfWishes,0x13,,unused,,,,
164,,#HouseOfWishes,0x14,,unused,,,,
165,Mysidia,#HouseOfWishes,0x15,twins joined,event,,,,
166,,#HouseOfWishes,0x16,,unused,,,,
167,,#RoomOfWishes,0x00,,unused,,,,
168,,#RoomOfWishes,0x01,,unused,,,,
169,,#RoomOfWishes,0x02,,unused,,,,
170,,#RoomOfWishes,0x03,,unused,,,,
171,,#RoomOfWishes,0x04,,unused,,,,
172,Mysidia,#RoomOfWishes,0x05,black mage,info,0,,I wish I could pray me a spaceship and fly past the sky.,
173,Mysidia,#RoomOfWishes,0x06,white mage,info,0,,So we're all just gonna pretend a submerged spaceship makes sense? Cool.,
174,Mysidia,#RoomOfWishes,0x07,elder,info,0,1,Err _ actually I'm praying I'll get MY crystal back now. This is kind of awkward_,
175,ToroiaTown,#ToroiaCafe,0x00,dancer,info,0,,You probably want to have levels in the high 40s before fighting Zeromus.,
176,ToroiaTown,#ToroiaCafe,0x01,man,info,0,,"If you reflect spells onto Zeromus, he won't counter your spells.",
177,ToroiaTown,#ToroiaCafe,0x02,dancer,info,0,,"Legends say Zeromus has 110,000 HP, but really he has two 65,000 HP phases, roughly.|If you reflect spells at the right time, you can kill Zeromus before his HP refills.",
178,ToroiaTown,#ToroiaCafe,0x03,old man,info,0,,Zeromus counters most black magic and items with [blackmagic]Nuke.,
179,ToroiaTown,#ToroiaCafe,0x04,old woman,info,0,,Big Bangs can be rough. Only top tier equipment like [ring]Crystal or [armor]Adamant make a difference.|The folks upstairs know more about how to 'nerf' Big Bangs to reduce their damage.,
180,ToroiaTown,#ToroiaCafe,0x05,man,info,0,,"[whitemagic]Bersk is the easiest way to deal with Zeromus, just keep your HP up.",
181,,#ToroiaCafe,0x06,,unused,,,,
182,ToroiaTown,#ToroiaCafe,0x07,bearded man,info,0,,Zeromus too fast? You probably need a better anchor.|What's an anchor? Ask the moon crystals!,
183,ToroiaTown,#ToroiaCafe,0x08,woman,info,0,,Welcome to 'We Killed Zeromus!' Everybody has a good story for you here.,
184,ToroiaTown,#ToroiaCafe,0x09,?,event,,,,
185,ToroiaTown,#ToroiaCafeUpstairs,0x00,dancer,info,0,,"The first two cycles of Big Bang, Zeromus won't do anything but cast it. Then it gets harder.",
186,ToroiaTown,#ToroiaCafeUpstairs,0x01,man,info,0,,"Black Hole will remove all positive statuses. Goodbye, Wall! Slow will stick, though.",
187,ToroiaTown,#ToroiaCafeUpstairs,0x02,dancer,info,0,,Zeromus will only use [blackmagic]Meteo when he's almost dead.,
188,ToroiaTown,#ToroiaCafeUpstairs,0x03,old man,info,0,,"After Zeromus refills his HP, he'll start casting [blackmagic]Nuke every other BB cycle.",
189,ToroiaTown,#ToroiaCafeUpstairs,0x04,old woman,info,0,,Your first spell will always nerf Zeromus' first Big Bang. Then it gets harder.,
190,ToroiaTown,#ToroiaCafeUpstairs,0x05,man,info,0,,"To nerf a Big Bang, you need to use a spell directly on Zeromus after he shakes. ",
191,,#ToroiaCafeUpstairs,0x06,,unused,,,,
192,ToroiaTown,#ToroiaCafeUpstairs,0x07,bearded man,info,0,,"Attempting to nerf Big Bangs is risky business! If you want to learn, best consult the pros.",
193,ToroiaTown,#ToroiaCafeUpstairs,0x08,woman,info,0,,You won't nerf Big Bang successfully if Zeromus shifts phases before he casts it.,
198,ToroiaTown,#ToroiaStable,0x00,man,info,0,,I rent out the basement to Chocobo lovers to finance my love of Apples.,
199,,#ToroiaStable,0x01,,unused,,,,
200,ToroiaTown,#ToroiaStable,0x02,book,info,0,,An Apple A Day Keeps The Grinding Away,
201,ToroiaTown,#ToroiaStable,0x03,book,info,0,,An Apple A Second Is Just Ridiculous,
202,ToroiaTown,#ToroiaStableDownstairs,0x00,man,info,0,,Flying a black chocobo is the only way to reach Cave Magnes.,
203,ToroiaTown,#ToroiaStableDownstairs,0x01,woman,info,0,,Yellow chocobos can run through rivers! If only that were ever necessary.,
204,ToroiaTown,#ToroiaStableDownstairs,0x02,sign,info,0,,TOROIAN GAZETTE: All the Black Chocobo News That's Fit To Print!,
205,ToroiaTown,#ToroiaStableDownstairs,0x03,chocobo,event,,,,
206,,#ToroiaStableDownstairs,0x04,,unused,,,,
207,ToroiaTown,#ToroiaStableDownstairs,0x05,girl,info,0,,The grown-up chocobos live in a forest to the north!,
208,,#ToroiaStableDownstairs,0x06,,unused,,,,
209,,#ToroiaStableDownstairs,0x07,,unused,,,,
210,,#ToroiaStableDownstairs,0x08,,unused,,,,
211,,#ToroiaStableDownstairs,0x09,,unused,,,,
212,,#ToroiaStableDownstairs,0x0A,,unused,,,,
213,ToroiaTown,#ToroiaStableDownstairs,0x0B,boy,info,0,,Some day there'll be many minigames for all these chocobos to play.,
214,Agart,#AstroTower,0x00,scholar,info,0,,"This is the Astro Tower, home of the world's only telescope!|Located right next to the world's most unstable mountains!",
215,Agart,#AstroTower,0x01,woman,info,0,,"Kory gets a proper name, but Sheila is just [Yang]'s wife? What a world.",
216,Agart,#AstroTower,0x02,book,info,0,,KluYa and You: The Deus Ex Machina FF4 Needs for Plot Explanations,
217,Agart,#AstroTower,0x03,book,info,0,,This book is entirely pictures of the moon with 'The After Years' overlaid.,
218,Agart,#AstroTower,0x04,book,info,0,,Alien Autopsy: How One Mop Changed Science Forever,
219,Agart,#AstroTowerObservatory,0x00,kory,info,0,1,"Hi, I'm Kory! This is my story! I live here in the observatory!|Sometimes I wish there was a lavatory! But mostly I'm just hunky-dory!",
220,Agart,#AgartInn,0x00,man,info,0,,You can meet our ancestors if you drop the [key]Magma down the well.,
221,Agart,#AgartInn,0x01,woman,info,0,,"It's faster to escape dungeons using Exit, especially if encounters are on.|But it doesn't work in every dungeon!",
222,Agart,#AgartInn,0x02,boy,info,0,,I'm training to be an archer. Bows and arrows are so useful early in seeds!,
223,Agart,#AgartInn,0x03,old man,info,0,,I buried my life savings in the bushes. _I should really stop talking out loud.,
224,Agart,#AgartInn,0x04,old woman,info,0,,"I put on a [ring]Cursed. Now I'm super slow, but everyone around me is super fast_",
225,Agart,#AgartInn,0x05,girl,info,0,,I want a [shirt]Heroine so I can be a strong fighter!,
226,Agart,#AgartInn,0x06,dancer,event,,,"Allow me to show you a traditional Agartian dance.|It is called, 'Please, Great Gods, Do Not Let A Giant Hole Tear Open Our Island.'",
227,Agart,#AgartInn,0x07,bearded man,info,0,,The best way to make quick money is to sell high-level armor. You'll be squishier though.,
231,,#BaronCastle,0x00,,unused,,,,
232,BaronCastle,#BaronCastle,0x01,soldier,info,1,,"_You're not the Ghostbusters. Well, something's in the basement. Have at it.",
233,,#BaronCastle,0x02,,unused,,,,
234,BaronCastle,#BaronCastle,0x03,soldier,info,1,,The only thing that scares me as much as the basement is the thought of a Chaos Dunk.,
235,,#BaronCastle,0x04,,unused,,,,
236,,#BaronCastle,0x05,,unused,,,,
237,BaronCastle,#BaronCastle,0x06,front door guard,event,,,"You are not just here to fill space. Me, though? ",
238,BaronCastle,#BaronCastle,0x07,front door guard,event,,,"If I die guarding this door, tell my wife 'Hello.'",
239,BaronCastle,#BaronCastle,0x08,?,info,,,,
240,BaronCastle,#BaronCastle,0x09,?,info,,,,
241,,#BaronCastle,0x0A,,unused,,,,
242,,#BaronCastle,0x0B,,unused,,,,
243,,#BaronCastle,0x0C,,unused,,,,
244,BaronCastle,#BaronCastle,0x0D,hook information,event,,,,Save as is
245,,#BaronCastle,0x0E,,unused,,,,
246,,#BaronCastle,0x0F,,unused,,,,
247,,#BaronCastle,0x10,,unused,,,,
248,,#BaronCastle,0x11,,unused,,,,
249,,#BaronCastle,0x12,,unused,,,,
250,Damcyan,#Damcyan,0x00,fallen soldier,event,,,_Red Wings versus solo outside soldier _ I should've thought that through more.,
251,Fabul,#Fabul,0x00,monk,info,0,,"I swear, there's a fight going on at Mt. Hobs every time I go up there lately.",
252,Fabul,#Fabul,0x01,monk,info,0,,Yang's lucky he found Sheila -- she seems to have everything anyone needs.,
253,Fabul,#Fabul,0x02,monk,info,0,,Ready to defend the castle? Talk to the king!,
254,Fabul,#Fabul,0x03,monk,info,0,,"Monk A: It's me, the guy who is better than Monk B or C.",
255,ToroiaCastle,#ToroiaCastle,0x00,talking frog,info,0,1,I'm also a talking frog in vanilla FF4.,
256,ToroiaCastle,#ToroiaCastle,0x01,soldier,info,0,,You'll need the [Crystal]Earth if you want to free the hostage held in Zot.,
257,ToroiaCastle,#ToroiaCastle,0x02,frog,event,,,,
258,ToroiaCastle,#ToroiaCastle,0x03,soldier,info,0,,"If you're looking for the Tower of Zot, talk to the green guy in the Clerics' room.",
259,ToroiaCastle,#ToroiaCastle,0x04,frog,event,,,,
260,ToroiaCastle,#ToroiaCastle,0x05,soldier,info,0,,The bosses in Zot are a step up from most of the Overworld. Hope you're well-armed_,
261,,#ToroiaCastle,0x06,,unused,,,,
262,ToroiaCastle,#ToroiaCastle,0x07,soldier,info,0,,"If you bring us back the Earth Crystal, perhaps we'll show you our treasury.",
265,,#BaronCastleLobby,0x00,,unused,,,,
266,BaronCastle,#BaronCastleLobby,0x01,soldier,info,1,,Jump does roughly double the damage of a regular attack.,
267,,#BaronCastleLobby,0x02,,unused,,,,
268,BaronCastle,#BaronCastleLobby,0x03,soldier,info,1,,"Dark Wave does damage to [Cecil], which might be ideal.|Don't like it? Be a paladin instead!",
269,,#BaronCastleLobby,0x04,,unused,,,,
270,BaronCastle,#BaronCastleLobby,0x05,soldier,info,1,,Other cities are jealous of our ability to create giant switch-activated doors.,
271,BaronCastle,#BaronCastleLobby,0x06,let's go,event,,,,
272,,#BaronCastleLobby,0x07,,unused,,,,
273,,#BaronCastleLobby,0x08,,unused,,,,
274,,#BaronCastleLobby,0x09,,unused,,,,
275,,#BaronCastleLobby,0x0A,,unused,,,,
276,,#BaronCastleOuterCourt,0x00,,unused,,,,
