Name,Origin Region,Destination Region,Logic rule
Green - Town > Starting Grotto,Green - Town,Starting Grotto - Entrance,true
Green - Town > Swamp Entrance,Green - Town,Beach - Swamp Entrance,can_surf
Green - Town > To Forest,Green - Town,Green - To Forest,can_destroy_bushes
Green - Town > Town Pillars,Green - Town,Green - Town Pillars,can_destroy_crystals
Green - Town > Zelda 1 Grotto,Green - Town,Zelda 1 Grotto,true
Green - Town Pillars > Town,Green - Town Pillars,Green - Town,can_destroy_crystals
Green - Town Pillars > Town Pillars Grotto,Green - Town Pillars,Town Pillars Grotto,can_destroy_crystals
Green Grotto > Beach Coast Grotto,Green Grotto,Beach Coast Grotto,true
Green Grotto > Town,Green Grotto,Green - Town,true
Green Grotto Drop > Green Grotto,Green Grotto - Drop,Green Grotto,true
Inside the tree > Forest South,Inside the tree,Forest - South,true
Inside the tree > Snow,Inside the tree,Snow,can_dodge_purple_bullets and can_unlock_final_boss_door and can_fight_lvl5 and can_boost
Jar Shop > Crystal Grove,Jar Shop,Green - Crystal Grove,true
Junkyard - East > East Shack,Junkyard - East,Junkyard East Shack,true
Junkyard - East > South,Junkyard - East,Junkyard - South,can_surf or can_cross_gaps
Junkyard - North > Dungeon 5 Central wing,Junkyard - North,Dungeon 5 - Central wing,can_open_dungeon_5
Junkyard - North > Dungeon 5 East wing,Junkyard - North,Dungeon 5 - East wing,can_destroy_ruins
Junkyard - North > South,Junkyard - North,Junkyard - South,can_surf
Junkyard - North > West Shack,Junkyard - North,Junkyard West Shack,can_fight_lvl5
Junkyard - South > Cemetery,Junkyard - South,Cemetery,can_surf
Junkyard - South > East,Junkyard - South,Junkyard - East,can_surf or can_cross_gaps
Junkyard - South > Junkyard Waterways West,Junkyard - South,Junkyard Waterways - West,true
Junkyard - South > North,Junkyard - South,Junkyard - North,can_surf
Junkyard - South > West,Junkyard - South,Junkyard - West,can_cross_gaps
Junkyard - West > Dungeon 5 West wing,Junkyard - West,Dungeon 5 - West wing,can_fight_lvl5
Junkyard - West > South,Junkyard - West,Junkyard - South,can_cross_gaps and can_fight_lvl5
Junkyard East Shack > Junkyard East,Junkyard East Shack,Junkyard - East,true
Junkyard Waterways - East > Forest Waterways,Junkyard Waterways - East,Forest Waterways,true
Junkyard Waterways - East > West,Junkyard Waterways - East,Junkyard Waterways - West,can_surf and can_use_springboards
Junkyard Waterways - West > Junkyard South,Junkyard Waterways - West,Junkyard - South,true
Junkyard West Shack > Junkyard North,Junkyard West Shack,Junkyard - North,true
Primordial Cave Entrance > Primordial Cave,Primordial Cave Entrance,Primordial Cave,can_unlock_primordial_cave_door
Primordial Cave Entrance > Sunken City Fountain,Primordial Cave Entrance,Sunken City - Fountain,true
Ruined shop > Abyss Dungeon Exterior,Ruined shop,Abyss - Dungeon Exterior,true
Scarab Temple - After Race > From Forest,Scarab Temple - After Race,Scarab Temple - From Forest,can_destroy_walls
Scarab Temple - After Race > Race,Scarab Temple - After Race,Scarab Temple - Race,true
Scarab Temple - Back > Statue,Scarab Temple - Back,Scarab Temple - Statue,can_destroy_walls
Scarab Temple - Back drop > Back,Scarab Temple - Back drop,Scarab Temple - Back,true
Scarab Temple - Back drop > Race,Scarab Temple - Back drop,Scarab Temple - Race,can_destroy_walls and can_destroy_rocks
Scarab Temple - Bottom Left Torch > Swamp Jumps Grotto Drop,Scarab Temple - Bottom Left Torch,Swamp Jumps Grotto Drop,true
Scarab Temple - Bottom Left Torch drop > Torch,Scarab Temple - Bottom Left Torch drop,Scarab Temple - Bottom Left Torch,can_destroy_walls
Scarab Temple - Bottom Right Torch > Back,Scarab Temple - Bottom Right Torch,Scarab Temple - Back,can_destroy_walls and can_light_torches
Scarab Temple - Bottom Right Torch > Middle Entrance,Scarab Temple - Bottom Right Torch,Scarab Temple - Middle Entrance,can_destroy_walls
Scarab Temple - Bottom Right Torch > Town,Scarab Temple - Bottom Right Torch,Green - Town,true
Scarab Temple - From Forest > Forest West,Scarab Temple - From Forest,Forest Grotto - West,can_fight_lvl2
Scarab Temple - Middle Entrance > Town,Scarab Temple - Middle Entrance,Green - Town,can_fight
Scarab Temple - Race > After Race,Scarab Temple - Race,Scarab Temple - After Race,true
Scarab Temple - Statue > Green Town,Scarab Temple - Statue,Green - Town,true
Scarab Temple - Top Left Torch > Top Right Torch,Scarab Temple - Top Left Torch,Scarab Temple - Top Right Torch,true
Scarab Temple - Top Right Torch > Swamp South West Island Shack,Scarab Temple - Top Right Torch,Swamp - South West Island Shack,true
Scarab Temple - Top Right Torch > Top Left Torch,Scarab Temple - Top Right Torch,Scarab Temple - Top Left Torch,true
Sewers - After jump > Central tunnel,Sewers - After jump,Sewers - After jump,can_surf and can_use_springboards
Sewers - After jump > Sunken City East torch,Sewers - After jump,Sunken City - East torch,true
Sewers - After pillars > Sunken City South West building,Sewers - After pillars,Sunken City - South West building,can_surf and can_fight_lvl4
Sewers - Central room > East,Sewers - Central room,Sewers - East,can_fight_lvl4 and can_surf
Sewers - Central tunnel > After jump,Sewers - Central tunnel,Sewers - After jump,can_surf and can_use_springboards
Sewers - Central tunnel > West,Sewers - Central tunnel,Sewers - West,true
Sewers - Desert Entrance > Desert,Sewers - Desert Entrance,Desert,true
Sewers - Desert Entrance > West,Sewers - Desert Entrance,Sewers - West,can_surf
Sewers - East > Sunken City West torch,Sewers - East,Sunken City - West torch,true
Sewers - East drop (left) > Central tunnel,Sewers - East drop (left),Sewers - Central tunnel,can_surf
Sewers - East drop (right) > Central room,Sewers - East drop (right),Sewers - Central room,can_surf
Sewers - North West Arena > Sunken City Central Sewers exit,Sewers - North West Arena,Sunken City - Central Sewers exit,can_fight_lvl4 and can_surf
Sewers - Ruined house > North West Arena,Sewers - Ruined house,Sewers - North West Arena,can_destroy_rocks and can_cross_very_tight_gaps and can_destroy_crystals or can_destroy_rocks and can_surf and can_destroy_crystals
Sewers - Ruined house > Sunken City West Island,Sewers - Ruined house,Sunken City - West Island,true
Sewers - Ruined house > West,Sewers - Ruined house,Sewers - West,can_destroy_rocks and can_surf and can_destroy_crystals
Sewers - West > After pillars,Sewers - West,Sewers - After pillars,can_surf and can_destroy_rocks
Sewers - West > Desert Entrance,Sewers - West,Sewers - Desert Entrance,can_surf
Sewers - West > Sunken City West entrance,Sewers - West,Sunken City - West entrance,true
Sewers - West > West waterfalls,Sewers - West,Sewers - West waterfalls,can_surf and can_use_springboards
Sewers - West drop (left) > West,Sewers - West drop (left),Sewers - West,can_surf
Sewers - West drop (right) > West,Sewers - West drop (right),Sewers - West,can_surf and can_destroy_walls
Sewers - West waterfalls > Sunken City Middle,Sewers - West waterfalls,Sunken City - Middle,true
Sewers - West waterfalls > West,Sewers - West waterfalls,Sewers - West,can_surf and can_destroy_walls
Spirit Tower > Forest Spirit Tower Exterior,Spirit Tower,Forest - Spirit Tower Exterior,true
Starting Grotto - Corridor > Lake,Starting Grotto - Corridor,Starting Grotto - Lake,can_destroy_crystals
Starting Grotto - Entrance > Town,Starting Grotto - Entrance,Green - Town,can_destroy_crystals
Starting Grotto - Lake > Corridor,Starting Grotto - Lake,Starting Grotto - Corridor,can_destroy_crystals
Starting Grotto - Lake > Entrance,Starting Grotto - Lake,Starting Grotto - Entrance,can_destroy_crystals
Sunken City - Central Island > City,Sunken City - Central Island,Sunken City - City,can_open_north_city_bridge and can_surf
Sunken City - Central Island > East,Sunken City - Central Island,Sunken City - East,can_surf
Sunken City - Central Island > Sewers West drop (right),Sunken City - Central Island,Sewers - West drop (right),can_destroy_rocks
Sunken City - Central Island > Temple Exterior,Sunken City - Central Island,Sunken City - Temple Exterior,can_surf
Sunken City - Central Island > West Island,Sunken City - Central Island,Sunken City - West Island,can_surf
Sunken City - Central Island >Sewers West drop (left),Sunken City - Central Island,Sewers - West drop (left),can_destroy_rocks
Sunken City - Central Sewers exit > Central Island,Sunken City - Central Sewers exit,Sunken City - Central Island,true
Sunken City - Central Sewers exit > Fountain,Sunken City - Central Sewers exit,Sunken City - Fountain,can_cross_gaps and can_surf
Sunken City - Central Sewers exit > Sewers North West Arena,Sunken City - Central Sewers exit,Sewers - North West Arena,true
Sunken CIty - City > Building,Sunken City - City,Sunken City Building,true
Sunken City - City > Desert,Sunken City - City,Desert,true
Sunken City - City > Hall,Sunken City - City,Sunken City Hall,can_light_city_torches
Sunken City - City > Sewers East drop (left),Sunken City - City,Sewers - East drop (left),can_surf and can_destroy_rocks
Sunken City - City > Sewers East drop (right),Sunken City - City,Sewers - East drop (right),can_surf and can_destroy_rocks
Sunken City - City > Temple Exterior,Sunken City - City,Sunken City - Temple Exterior,can_surf
Sunken City - Dungeon Exterior > Dungeon 4,Sunken City - Dungeon Exterior,Dungeon 4,can_surf
Sunken City - Dungeon Exterior > Hall,Sunken City - Dungeon Exterior,Sunken City Hall,can_surf
Sunken City - East > Cemetery,Sunken City - East,Cemetery,can_surf and can_fight_lvl4
Sunken City - East > Central Island,Sunken City - East,Sunken City - Central Island,can_surf
Sunken City - East > Race,Sunken City - East,Sunken City Race,can_surf
Sunken City - East torch > City,Sunken City - East torch,Sunken City - City,true
Sunken City - East torch > Sewers After jump,Sunken City - East torch,Sewers - After jump,true
Sunken City - Fountain > Primordial Cave Entrance,Sunken City - Fountain,Primordial Cave Entrance,can_surf
Sunken City - Middle > Sewers West waterfalls,Sunken City - Middle,Sewers - West waterfalls,true
Sunken City - North East district > Building,Sunken City - North East district,Sunken City Building,true
Sunken City - North East district > Building drop,Sunken City - North East district,Sunken City Building - Drop,can_destroy_rocks
Sunken City - South West building > Sewers After pillars,Sunken City - South West building,Sewers - After pillars,true
Sunken City - South West building > West Entrance,Sunken City - South West building,Sunken City - West entrance,can_destroy_crystals and can_destroy_walls and can_surf
Sunken City - Temple Exterior > Central Island,Sunken City - Temple Exterior,Sunken City - Central Island,can_surf
Sunken City - Temple Exterior > Sunken Temple Entrance,Sunken City - Temple Exterior,Sunken Temple - Entrance,can_open_sunken_temple
Sunken City - Temple Exterior > West entrance,Sunken City - Temple Exterior,Sunken City - West entrance,can_surf
Sunken City - West entrance > Desert,Sunken City - West entrance,Desert,can_surf and can_destroy_walls or can_cross_tight_gaps and can_destroy_walls
Sunken City - West entrance > Sewers West,Sunken City - West entrance,Sewers - West,can_surf or can_cross_tight_gaps
Sunken City - West entrance > Temple Exterior,Sunken City - West entrance,Sunken City - Temple Exterior,can_surf
Sunken City - West Island > Central Island,Sunken City - West Island,Sunken City - Central Island,can_surf
Sunken City - West Island > Sewers Ruined house,Sunken City - West Island,Sewers - Ruined house,true
Sunken City - West torch > City,Sunken City - West torch,Sunken City - City,true
Sunken City - West torch > Sewers East,Sunken City - West torch,Sewers - East,true
Sunken City Building - Drop > Building,Sunken City Building - Drop,Sunken City Building,true
Sunken City Building > City,Sunken City Building,Sunken City - City,can_fight_lvl4 and can_destroy_walls
Sunken City Building > Sunken City North East district,Sunken City Building,Sunken City - North East district,can_fight_lvl4 and can_destroy_walls
Sunken City Hall > City,Sunken City Hall,Sunken City - City,can_fight_lvl4 and can_destroy_walls
Sunken City Hall > Dungeon Exterior,Sunken City Hall,Sunken City - Dungeon Exterior,can_fight_lvl4 and can_destroy_walls
Sunken City Race > Sunken City East,Sunken City Race,Sunken City - East,true
Sunken Temple - East > North,Sunken Temple - East,Sunken Temple - North,can_destroy_walls and can_light_torches
Sunken Temple - Entrance > South,Sunken Temple - Entrance,Sunken Temple - South,can_surf
Sunken Temple - Entrance > Sunken City Temple Exterior,Sunken Temple - Entrance,Sunken City - Temple Exterior,can_cross_gaps or can_surf
Sunken Temple - South > West,Sunken Temple - South,Sunken Temple - West,can_cross_gaps
Sunken Temple - West > East,Sunken Temple - West,Sunken Temple - East,can_fight_lvl4 and can_destroy_rocks and can_use_springboards and can_cross_gaps and can_race_torches
Swamp - Before Big Enemy > Green Island Arena,Swamp - Before Big Enemy,Green - Island Arena,can_surf
Swamp - Before Big Enemy > South West Island,Swamp - Before Big Enemy,Swamp - South West Island,can_surf
Swamp - Before Big Enemy > Swamp Jumps Grotto North,Swamp - Before Big Enemy,Swamp Jumps Grotto North,true
Swamp - Before Big Enemy > Turtle's domain,Swamp - Before Big Enemy,Swamp - Turtle's domain,can_surf
Swamp - South West Island > Before Big Enemy,Swamp - South West Island,Swamp - Before Big Enemy,can_fight
Swamp - South West Island > Cemetery Tower Exterior,Swamp - South West Island,Cemetery - Tower Exterior,can_surf
Swamp - South West Island > Green Island Arena,Swamp - South West Island,Green - Island Arena,can_use_springboards or can_surf
Swamp - South West Island > South West Island Shack,Swamp - South West Island,Swamp - South West Island Shack,can_surf
Swamp - South West Island > Swamp Jumps Grotto South,Swamp - South West Island,Swamp Jumps Grotto South,true
Swamp - South West Island Shack > Scarab Temple Top Right Torch,Swamp - South West Island Shack,Scarab Temple - Top Right Torch,true
Swamp - South West Island Shack > South West Island,Swamp - South West Island Shack,Swamp - South West Island,can_surf
Swamp - Tower Exterior > South West Island,Swamp - Tower Exterior,Swamp - South West Island,can_surf
Swamp - Tower Exterior > Swamp Tower,Swamp - Tower Exterior,Swamp Tower,true
Swamp - Turtle's domain > Beach Dungeon 3 Island,Swamp - Turtle's domain,Beach - Dungeon 3 Island,can_surf or can_cross_gaps and can_destroy_walls and can_destroy_rocks and can_destroy_plants and can_use_springboards and can_light_torches and can_fight_lvl3
Swamp - Turtle's domain > Beach Swamp Entrance,Swamp - Turtle's domain,Beach - Swamp Entrance,can_fight_lvl2
Swamp - Turtle's domain > Before Big Enemy,Swamp - Turtle's domain,Swamp - Before Big Enemy,can_fight_lvl3 or can_surf
Swamp - Turtle's domain > North,Swamp - Turtle's domain,Swamp - North,can_destroy_walls
Swamp - Turtle's domain > Race,Swamp - Turtle's domain,Swamp Race,can_destroy_rocks or can_surf
Swamp - Turtle's domain > Shop,Swamp - Turtle's domain,Swamp Shop,can_destroy_trees
Swamp Jumps Grotto - North > South,Swamp Jumps Grotto North,Swamp Jumps Grotto South,can_use_springboards or can_surf
Swamp Jumps Grotto - North > Swamp Before Big Enemy,Swamp Jumps Grotto North,Swamp - Before Big Enemy,true
Swamp Jumps Grotto - South > North,Swamp Jumps Grotto South,Swamp Jumps Grotto North,can_surf
Swamp Jumps Grotto - South > Swamp South West Island,Swamp Jumps Grotto South,Swamp - South West Island,true
Swamp Jumps Grotto Drop > South,Swamp Jumps Grotto Drop,Swamp Jumps Grotto South,can_use_springboards or can_surf
Swamp Race > Turtle's domain,Swamp Race,Swamp - Turtle's domain,true
Swamp Shop > Turtle's domain,Swamp Shop,Swamp - Turtle's domain,true
Swamp Tower > Tower Exterior,Swamp Tower,Swamp - Tower Exterior,true
Town Pillars Grotto > Town Pillars,Town Pillars Grotto,Green - Town Pillars,true
Zelda 1 Grotto > Town,Zelda 1 Grotto,Green - Town,true