id,name,classification,groups,mod_name
394,Pumpkin Soup Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
395,Radish Salad Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
396,Red Plate Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
397,Rhubarb Pie Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
398,Rice Pudding Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
399,Roasted Hazelnuts Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
400,Roots Platter Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
401,Salad Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
402,Salmon Dinner Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
403,Sashimi Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
404,Seafoam Pudding Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
405,Shrimp Cocktail Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
406,Spaghetti Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
407,Spicy Eel Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
408,Squid Ink Ravioli Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
409,Stir Fry Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
410,Strange Bun Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
411,Stuffing Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
412,Super Meal Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
413,Survival Burger Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
414,Tom Kha Soup Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
415,Tortilla Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS,CHEFSANITY_PURCHASE",
416,Triple Shot Espresso Recipe,progression,"CHEFSANITY,CHEFSANITY_PURCHASE",
417,Tropical Curry Recipe,progression,"CHEFSANITY,GINGER_ISLAND,CHEFSANITY_PURCHASE",
418,Trout Soup Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
419,Vegetable Medley Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
420,Moss Soup Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
425,Gate Recipe,progression,CRAFTSANITY,
426,Wood Fence Recipe,progression,CRAFTSANITY,
427,Deluxe Retaining Soil Recipe,progression,"CRAFTSANITY,GINGER_ISLAND",
428,Grass Starter Recipe,progression,CRAFTSANITY,
429,Wood Floor Recipe,progression,CRAFTSANITY,
430,Rustic Plank Floor Recipe,progression,CRAFTSANITY,
431,Straw Floor Recipe,progression,CRAFTSANITY,
432,Weathered Floor Recipe,progression,CRAFTSANITY,
433,Crystal Floor Recipe,progression,CRAFTSANITY,
434,Stone Floor Recipe,progression,CRAFTSANITY,
435,Stone Walkway Floor Recipe,progression,CRAFTSANITY,
436,Brick Floor Recipe,progression,CRAFTSANITY,
437,Wood Path Recipe,progression,CRAFTSANITY,
438,Gravel Path Recipe,progression,CRAFTSANITY,
439,Cobblestone Path Recipe,progression,CRAFTSANITY,
440,Stepping Stone Path Recipe,progression,CRAFTSANITY,
441,Crystal Path Recipe,progression,CRAFTSANITY,
442,Wedding Ring Recipe,progression,CRAFTSANITY,
443,Warp Totem: Desert Recipe,progression,CRAFTSANITY,
444,Warp Totem: Island Recipe,progression,"CRAFTSANITY,GINGER_ISLAND",
445,Torch Recipe,progression,CRAFTSANITY,
446,Campfire Recipe,progression,CRAFTSANITY,
447,Wooden Brazier Recipe,progression,CRAFTSANITY,
448,Stone Brazier Recipe,progression,CRAFTSANITY,
449,Gold Brazier Recipe,progression,CRAFTSANITY,
450,Carved Brazier Recipe,progression,CRAFTSANITY,
451,Stump Brazier Recipe,progression,CRAFTSANITY,
452,Barrel Brazier Recipe,progression,CRAFTSANITY,
453,Skull Brazier Recipe,progression,CRAFTSANITY,
454,Marble Brazier Recipe,progression,CRAFTSANITY,
455,Wood Lamp-post Recipe,progression,CRAFTSANITY,
456,Iron Lamp-post Recipe,progression,CRAFTSANITY,
457,Furnace Recipe,progression,"CRAFTSANITY",
458,Wicked Statue Recipe,progression,CRAFTSANITY,
459,Chest Recipe,progression,CRAFTSANITY,
460,Wood Sign Recipe,progression,CRAFTSANITY,
461,Stone Sign Recipe,progression,CRAFTSANITY,
469,Railroad Boulder Removed,progression,,
470,Fruit Bats,progression,,
471,Mushroom Boxes,progression,,
475,The Gateway Gazette,progression,TV_CHANNEL,
476,Carrot Seeds,progression,CROPSANITY,
477,Summer Squash Seeds,progression,CROPSANITY,
478,Broccoli Seeds,progression,CROPSANITY,
479,Powdermelon Seeds,progression,CROPSANITY,
480,Progressive Raccoon,progression,,
481,Farming Mastery,progression,SKILL_MASTERY,
482,Mining Mastery,progression,SKILL_MASTERY,
483,Foraging Mastery,progression,SKILL_MASTERY,
484,Fishing Mastery,progression,SKILL_MASTERY,
485,Combat Mastery,progression,SKILL_MASTERY,
486,Fish Smoker Recipe,progression,CRAFTSANITY,
487,Dehydrator Recipe,progression,CRAFTSANITY,
488,Big Chest Recipe,progression,CRAFTSANITY,
489,Big Stone Chest Recipe,progression,CRAFTSANITY,
490,Text Sign Recipe,progression,CRAFTSANITY,
491,Blue Grass Starter Recipe,progression,"QI_CRAFTING_RECIPE,GINGER_ISLAND",
492,Mastery Of The Five Ways,progression,SKILL_MASTERY,
493,Progressive Scythe,useful,,
494,Progressive Pan,progression,PROGRESSIVE_TOOLS,
495,Calico Statue,filler,FESTIVAL,
496,Mummy Mask,filler,FESTIVAL,
497,Free Cactis,filler,FESTIVAL,
498,Gil's Hat,filler,FESTIVAL,
499,Bucket Hat,filler,FESTIVAL,
500,Mounted Trout,filler,FESTIVAL,
501,'Squid Kid',filler,FESTIVAL,
502,Squid Hat,filler,FESTIVAL,
503,Resource Pack: 200 Calico Egg,useful,"FESTIVAL",
504,Resource Pack: 120 Calico Egg,useful,"FESTIVAL",
505,Resource Pack: 100 Calico Egg,useful,"FESTIVAL",
506,Resource Pack: 50 Calico Egg,useful,"FESTIVAL",
507,Resource Pack: 40 Calico Egg,useful,"FESTIVAL",
508,Resource Pack: 35 Calico Egg,useful,"FESTIVAL",
509,Resource Pack: 30 Calico Egg,useful,"FESTIVAL",
510,Book: The Art O' Crabbing,progression,"FESTIVAL",
511,Mr Qi's Plane Ride,progression,,
521,Power: Price Catalogue,useful,"BOOK_POWER",
522,Power: Mapping Cave Systems,useful,"BOOK_POWER",
523,Power: Way Of The Wind pt. 1,progression,"BOOK_POWER",
524,Power: Way Of The Wind pt. 2,useful,"BOOK_POWER",
525,Power: Monster Compendium,useful,"BOOK_POWER",
526,Power: Friendship 101,useful,"BOOK_POWER",
527,"Power: Jack Be Nimble, Jack Be Thick",useful,"BOOK_POWER",
528,Power: Woody's Secret,useful,"BOOK_POWER",
529,Power: Raccoon Journal,useful,"BOOK_POWER",
530,Power: Jewels Of The Sea,useful,"BOOK_POWER",
531,Power: Dwarvish Safety Manual,useful,"BOOK_POWER",
532,Power: The Art O' Crabbing,useful,"BOOK_POWER",
533,Power: The Alleyway Buffet,useful,"BOOK_POWER",
534,Power: The Diamond Hunter,useful,"BOOK_POWER",
535,Power: Book of Mysteries,progression,"BOOK_POWER",
536,Power: Horse: The Book,useful,"BOOK_POWER",
537,Power: Treasure Appraisal Guide,useful,"BOOK_POWER",
538,Power: Ol' Slitherlegs,useful,"BOOK_POWER",
539,Power: Animal Catalogue,useful,"BOOK_POWER",
541,Progressive Lost Book,progression,"LOST_BOOK",
551,Golden Walnut,progression,"RESOURCE_PACK,GINGER_ISLAND",
552,3 Golden Walnuts,progression,"GINGER_ISLAND",
553,5 Golden Walnuts,progression,"GINGER_ISLAND",
554,Damage Bonus,filler,PLAYER_BUFF,
555,Defense Bonus,filler,PLAYER_BUFF,
556,Immunity Bonus,filler,PLAYER_BUFF,
557,Health Bonus,filler,PLAYER_BUFF,
558,Energy Bonus,filler,PLAYER_BUFF,
559,Bite Rate Bonus,filler,PLAYER_BUFF,
560,Fish Trap Bonus,filler,PLAYER_BUFF,
561,Fishing Bar Size Bonus,filler,PLAYER_BUFF,
562,Quality Bonus,filler,PLAYER_BUFF,
563,Glow Bonus,filler,PLAYER_BUFF,
564,Pet Bowl,progression,BUILDING,
4001,Burnt Trap,trap,TRAP,
4002,Darkness Trap,trap,TRAP,
4003,Frozen Trap,trap,TRAP,
4004,Jinxed Trap,trap,TRAP,
4005,Nauseated Trap,trap,TRAP,
4006,Slimed Trap,trap,TRAP,
4007,Weakness Trap,trap,TRAP,
4008,Taxes Trap,trap,TRAP,
4009,Random Teleport Trap,trap,TRAP,
4010,The Crows Trap,trap,TRAP,
4011,Monsters Trap,trap,TRAP,
4012,Entrance Reshuffle Trap,trap,"TRAP,DEPRECATED",
4013,Debris Trap,trap,TRAP,
4014,Shuffle Trap,trap,TRAP,
4015,Temporary Winter Trap,trap,"TRAP,DEPRECATED",
4016,Pariah Trap,trap,TRAP,
4017,Drought Trap,trap,TRAP,
4018,Time Flies Trap,trap,TRAP,
4019,Babies Trap,trap,TRAP,
4020,Meow Trap,trap,TRAP,
4021,Bark Trap,trap,TRAP,
4022,Depression Trap,trap,"TRAP,DEPRECATED",
4023,Benjamin Budton Trap,trap,TRAP,
4024,Inflation Trap,trap,TRAP,
4025,Bomb Trap,trap,TRAP,
4026,Nudge Trap,trap,TRAP,
4501,Deflation Bonus,filler,,
5000,Resource Pack: 500 Money,useful,"BASE_RESOURCE,RESOURCE_PACK",
5001,Resource Pack: 1000 Money,useful,"BASE_RESOURCE,RESOURCE_PACK",
5002,Resource Pack: 1500 Money,useful,"BASE_RESOURCE,RESOURCE_PACK",
5003,Resource Pack: 2000 Money,useful,"BASE_RESOURCE,RESOURCE_PACK",
5004,Resource Pack: 25 Stone,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5005,Resource Pack: 50 Stone,filler,"BASE_RESOURCE,RESOURCE_PACK",
5006,Resource Pack: 75 Stone,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5007,Resource Pack: 100 Stone,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5008,Resource Pack: 25 Wood,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5009,Resource Pack: 50 Wood,filler,"BASE_RESOURCE,RESOURCE_PACK",
5010,Resource Pack: 75 Wood,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5011,Resource Pack: 100 Wood,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5012,Resource Pack: 5 Hardwood,useful,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5013,Resource Pack: 10 Hardwood,useful,"BASE_RESOURCE,RESOURCE_PACK",
5014,Resource Pack: 15 Hardwood,useful,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5015,Resource Pack: 20 Hardwood,useful,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5016,Resource Pack: 15 Fiber,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5017,Resource Pack: 30 Fiber,filler,"BASE_RESOURCE,RESOURCE_PACK",
5018,Resource Pack: 45 Fiber,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5019,Resource Pack: 60 Fiber,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5020,Resource Pack: 5 Coal,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5021,Resource Pack: 10 Coal,filler,"BASE_RESOURCE,RESOURCE_PACK",
5022,Resource Pack: 15 Coal,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5023,Resource Pack: 20 Coal,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5024,Resource Pack: 5 Clay,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5025,Resource Pack: 10 Clay,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5026,Resource Pack: 15 Clay,filler,"DEPRECATED,BASE_RESOURCE,RESOURCE_PACK",
5027,Resource Pack: 20 Clay,filler,"BASE_RESOURCE,RESOURCE_PACK",
5028,Resource Pack: 1 Warp Totem: Beach,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5029,Resource Pack: 3 Warp Totem: Beach,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5030,Resource Pack: 5 Warp Totem: Beach,filler,"RESOURCE_PACK,WARP_TOTEM",
5031,Resource Pack: 7 Warp Totem: Beach,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5032,Resource Pack: 9 Warp Totem: Beach,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5033,Resource Pack: 10 Warp Totem: Beach,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5034,Resource Pack: 1 Warp Totem: Desert,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5035,Resource Pack: 3 Warp Totem: Desert,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5036,Resource Pack: 5 Warp Totem: Desert,filler,"RESOURCE_PACK,WARP_TOTEM",
5037,Resource Pack: 7 Warp Totem: Desert,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5038,Resource Pack: 9 Warp Totem: Desert,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5039,Resource Pack: 10 Warp Totem: Desert,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5040,Resource Pack: 1 Warp Totem: Farm,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5041,Resource Pack: 3 Warp Totem: Farm,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5042,Resource Pack: 5 Warp Totem: Farm,filler,"RESOURCE_PACK,WARP_TOTEM",
5043,Resource Pack: 7 Warp Totem: Farm,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5044,Resource Pack: 9 Warp Totem: Farm,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5045,Resource Pack: 10 Warp Totem: Farm,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5046,Resource Pack: 1 Warp Totem: Island,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM,GINGER_ISLAND",
5047,Resource Pack: 3 Warp Totem: Island,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM,GINGER_ISLAND",
5048,Resource Pack: 5 Warp Totem: Island,filler,"RESOURCE_PACK,WARP_TOTEM,GINGER_ISLAND",
5049,Resource Pack: 7 Warp Totem: Island,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM,GINGER_ISLAND",
5050,Resource Pack: 9 Warp Totem: Island,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM,GINGER_ISLAND",
5051,Resource Pack: 10 Warp Totem: Island,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM,GINGER_ISLAND",
5052,Resource Pack: 1 Warp Totem: Mountains,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5053,Resource Pack: 3 Warp Totem: Mountains,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5054,Resource Pack: 5 Warp Totem: Mountains,filler,"RESOURCE_PACK,WARP_TOTEM",
5055,Resource Pack: 7 Warp Totem: Mountains,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5056,Resource Pack: 9 Warp Totem: Mountains,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5057,Resource Pack: 10 Warp Totem: Mountains,filler,"DEPRECATED,RESOURCE_PACK,WARP_TOTEM",
5058,Resource Pack: 6 Geode,filler,"DEPRECATED,GEODE,RESOURCE_PACK",
5059,Resource Pack: 12 Geode,filler,"GEODE,RESOURCE_PACK",
5060,Resource Pack: 18 Geode,filler,"DEPRECATED,GEODE,RESOURCE_PACK",
5061,Resource Pack: 24 Geode,filler,"DEPRECATED,GEODE,RESOURCE_PACK",
5062,Resource Pack: 4 Frozen Geode,filler,"DEPRECATED,GEODE,RESOURCE_PACK",
5063,Resource Pack: 8 Frozen Geode,filler,"GEODE,RESOURCE_PACK",
5064,Resource Pack: 12 Frozen Geode,filler,"DEPRECATED,GEODE,RESOURCE_PACK",
5065,Resource Pack: 16 Frozen Geode,filler,"DEPRECATED,GEODE,RESOURCE_PACK",
5066,Resource Pack: 3 Magma Geode,filler,"DEPRECATED,GEODE,RESOURCE_PACK",
5067,Resource Pack: 6 Magma Geode,filler,"GEODE,RESOURCE_PACK",
5068,Resource Pack: 9 Magma Geode,filler,"DEPRECATED,GEODE,RESOURCE_PACK",
5069,Resource Pack: 12 Magma Geode,filler,"DEPRECATED,GEODE,RESOURCE_PACK",
5070,Resource Pack: 2 Omni Geode,useful,"DEPRECATED,GEODE,RESOURCE_PACK",
5071,Resource Pack: 4 Omni Geode,useful,"GEODE,RESOURCE_PACK",
5072,Resource Pack: 6 Omni Geode,useful,"DEPRECATED,GEODE,RESOURCE_PACK",
5073,Resource Pack: 8 Omni Geode,useful,"DEPRECATED,GEODE,RESOURCE_PACK",
5074,Resource Pack: 25 Copper Ore,filler,"DEPRECATED,ORE,RESOURCE_PACK",
5075,Resource Pack: 50 Copper Ore,filler,"DEPRECATED,ORE,RESOURCE_PACK",
5076,Resource Pack: 75 Copper Ore,filler,"ORE,RESOURCE_PACK",
5077,Resource Pack: 100 Copper Ore,filler,"DEPRECATED,ORE,RESOURCE_PACK",
5078,Resource Pack: 125 Copper Ore,filler,"DEPRECATED,ORE,RESOURCE_PACK",
5079,Resource Pack: 150 Copper Ore,filler,"DEPRECATED,ORE,RESOURCE_PACK",
5080,Resource Pack: 25 Iron Ore,filler,"DEPRECATED,ORE,RESOURCE_PACK",
5081,Resource Pack: 50 Iron Ore,filler,"ORE,RESOURCE_PACK",
5082,Resource Pack: 75 Iron Ore,filler,"DEPRECATED,ORE,RESOURCE_PACK",
5083,Resource Pack: 100 Iron Ore,filler,"DEPRECATED,ORE,RESOURCE_PACK",
5084,Resource Pack: 12 Gold Ore,useful,"DEPRECATED,ORE,RESOURCE_PACK",
5085,Resource Pack: 25 Gold Ore,useful,"ORE,RESOURCE_PACK",
5086,Resource Pack: 38 Gold Ore,useful,"DEPRECATED,ORE,RESOURCE_PACK",
5087,Resource Pack: 50 Gold Ore,useful,"DEPRECATED,ORE,RESOURCE_PACK",
5088,Resource Pack: 5 Iridium Ore,useful,"DEPRECATED,ORE,RESOURCE_PACK",
5089,Resource Pack: 10 Iridium Ore,useful,"ORE,RESOURCE_PACK",
5090,Resource Pack: 15 Iridium Ore,useful,"DEPRECATED,ORE,RESOURCE_PACK",
5091,Resource Pack: 20 Iridium Ore,useful,"DEPRECATED,ORE,RESOURCE_PACK",
5092,Resource Pack: 5 Quartz,filler,"ORE,RESOURCE_PACK",
5093,Resource Pack: 10 Quartz,filler,"ORE,DEPRECATED,RESOURCE_PACK",
5094,Resource Pack: 15 Quartz,filler,"ORE,DEPRECATED,RESOURCE_PACK",
5095,Resource Pack: 20 Quartz,filler,"ORE,DEPRECATED,RESOURCE_PACK",
5096,Resource Pack: 10 Basic Fertilizer,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5097,Resource Pack: 20 Basic Fertilizer,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5098,Resource Pack: 30 Basic Fertilizer,filler,"FERTILIZER,RESOURCE_PACK",
5099,Resource Pack: 40 Basic Fertilizer,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5100,Resource Pack: 50 Basic Fertilizer,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5101,Resource Pack: 60 Basic Fertilizer,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5102,Resource Pack: 10 Basic Retaining Soil,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5103,Resource Pack: 20 Basic Retaining Soil,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5104,Resource Pack: 30 Basic Retaining Soil,filler,"FERTILIZER,RESOURCE_PACK",
5105,Resource Pack: 40 Basic Retaining Soil,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5106,Resource Pack: 50 Basic Retaining Soil,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5107,Resource Pack: 60 Basic Retaining Soil,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5108,Resource Pack: 10 Speed-Gro,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5109,Resource Pack: 20 Speed-Gro,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5110,Resource Pack: 30 Speed-Gro,filler,"FERTILIZER,RESOURCE_PACK",
5111,Resource Pack: 40 Speed-Gro,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5112,Resource Pack: 50 Speed-Gro,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5113,Resource Pack: 60 Speed-Gro,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5114,Resource Pack: 4 Quality Fertilizer,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5115,Resource Pack: 12 Quality Fertilizer,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5116,Resource Pack: 20 Quality Fertilizer,filler,"FERTILIZER,RESOURCE_PACK",
5117,Resource Pack: 28 Quality Fertilizer,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5118,Resource Pack: 36 Quality Fertilizer,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5119,Resource Pack: 40 Quality Fertilizer,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5120,Resource Pack: 4 Quality Retaining Soil,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5121,Resource Pack: 12 Quality Retaining Soil,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5122,Resource Pack: 20 Quality Retaining Soil,filler,"FERTILIZER,RESOURCE_PACK",
5123,Resource Pack: 28 Quality Retaining Soil,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5124,Resource Pack: 36 Quality Retaining Soil,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5125,Resource Pack: 40 Quality Retaining Soil,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5126,Resource Pack: 4 Deluxe Speed-Gro,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5127,Resource Pack: 12 Deluxe Speed-Gro,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5128,Resource Pack: 20 Deluxe Speed-Gro,filler,"FERTILIZER,RESOURCE_PACK",
5129,Resource Pack: 28 Deluxe Speed-Gro,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5130,Resource Pack: 36 Deluxe Speed-Gro,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5131,Resource Pack: 40 Deluxe Speed-Gro,filler,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5132,Resource Pack: 2 Deluxe Fertilizer,useful,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5133,Resource Pack: 6 Deluxe Fertilizer,useful,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5134,Resource Pack: 10 Deluxe Fertilizer,useful,"FERTILIZER,RESOURCE_PACK",
5135,Resource Pack: 14 Deluxe Fertilizer,useful,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5136,Resource Pack: 18 Deluxe Fertilizer,useful,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5137,Resource Pack: 20 Deluxe Fertilizer,useful,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5138,Resource Pack: 2 Deluxe Retaining Soil,useful,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5139,Resource Pack: 6 Deluxe Retaining Soil,useful,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5140,Resource Pack: 10 Deluxe Retaining Soil,useful,"FERTILIZER,RESOURCE_PACK",
5141,Resource Pack: 14 Deluxe Retaining Soil,useful,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5142,Resource Pack: 18 Deluxe Retaining Soil,useful,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
5143,Resource Pack: 20 Deluxe Retaining Soil,useful,"DEPRECATED,FERTILIZER,RESOURCE_PACK",
